,bs_pos_x,bs_pos_y,pdbs_pos_x,pdbs_pos_y,time
137,2.09855,-13.000182,0.0,8.649654,Mon Jul 11 10:30:39 2022
138,1.14868,-13.000182,0.0,8.649654,Mon Jul 11 14:39:01 2022
139,1.148915,-13.000182,0.0,8.649654,Mon Jul 11 16:10:24 2022
140,1.248555,-13.000182,0.0,8.649654,Mon Jul 11 16:35:13 2022
141,1.6478199999999998,-13.000182,0.0,8.649654,Tue Jul 12 13:32:55 2022
142,1.74793,-13.000182,0.0,8.649654,Tue Jul 12 18:19:26 2022
143,1.74793,-13.000182,0.0,8.649654,Tue Jul 12 18:20:44 2022
144,1.747225,-13.000182,0.0,8.649654,Tue Jul 12 19:33:29 2022
145,1.74652,-13.000182,0.0,8.649654,Wed Jul 13 11:05:31 2022
146,1.745815,-13.000182,0.0,8.649654,Wed Jul 13 11:12:19 2022
147,0.94564,-13.000182,0.0,8.649654,Thu Jul 14 13:11:10 2022
148,1.0951,-13.000182,0.0,8.649654,Thu Jul 14 13:15:19 2022
149,2.04638,-13.000182,0.0,8.649654,Thu Jul 14 16:01:56 2022
150,2.04638,-13.000182,0.0,8.649654,Thu Jul 14 16:06:01 2022
151,1.746285,-13.000182,0.0,8.649654,Thu Jul 14 17:01:16 2022
152,2.24942,-13.000182,0.0,8.649654,Mon Jul 18 10:25:01 2022
153,-204.9999,-13.00026,-199.400136,8.849646,Tue Jul 19 15:47:54 2022
154,1.39919,-13.00026,0.000234,8.849646,Tue Jul 19 16:12:05 2022
155,1.299315,-13.00026,0.000234,8.849646,Tue Jul 19 19:11:10 2022
156,1.699285,-13.00026,0.000234,8.849646,Mon Jul 25 18:34:13 2022
157,1.24926,-13.00026,0.000234,8.849646,Thu Jul 28 16:14:16 2022
158,-204.9999,-13.00026,-198.900234,9.349626,Thu Jul 28 20:56:24 2022
159,1.299315,-13.00026,0.000234,9.349626,Fri Jul 29 00:17:57 2022
160,2.099725,-13.00026,0.000234,9.349626,Sat Jul 30 10:30:01 2022
161,2.099725,-13.00026,0.000234,9.349626,Sun Jul 31 19:31:25 2022
162,1.699285,-13.00026,0.000234,9.349626,Mon Aug  1 01:15:08 2022
163,-204.9999,-13.00026,-199.30014,8.749416,Mon Aug  1 01:28:21 2022
164,2.199365,-13.00026,0.000234,8.499816,Thu Sep 22 09:56:52 2022
165,-204.9999,-13.00026,-199.50021,8.499816,Tue Sep 27 16:28:04 2022
166,1.449245,-13.00026,0.000234,8.499816,Mon Oct  3 12:37:54 2022
167,-204.9999,-13.000182,-200.350254,9.600006,Sat Oct  8 12:10:02 2022
168,-204.9999,-13.000182,-200.350254,9.600006,Sat Oct  8 15:57:49 2022
